variable,regressor,regressor__n_neighbors,pca,scaler,regressor__weights,regressor__metric,score,std
dwi_sin,KNeighborsRegressor,5,PCA(n_components=0.95),StandardScaler,uniform,chebyshev,-0.56396015,0.0712192
dwi_sin,KNeighborsRegressor,5,PCA(n_components=0.95),StandardScaler,distance,euclidean,-0.5661713,0.04460937
dwi_sin,KNeighborsRegressor,5,PCA(n_components=0.95),StandardScaler,distance,manhattan,-0.54688927,0.05888607
dwi_sin,KNeighborsRegressor,5,PCA(n_components=0.95),StandardScaler,distance,chebyshev,-0.5623264,0.07114516
dwi_sin,KNeighborsRegressor,5,PCA(n_components=0.95),RobustScaler,uniform,euclidean,-0.5581964,0.04375111
dwi_sin,KNeighborsRegressor,5,PCA(n_components=0.95),RobustScaler,uniform,manhattan,-0.53675346,0.05892705
dwi_sin,KNeighborsRegressor,5,PCA(n_components=0.95),RobustScaler,uniform,chebyshev,-0.55320591,0.06988517
dwi_sin,KNeighborsRegressor,5,PCA(n_components=0.95),RobustScaler,distance,euclidean,-0.55582273,0.04376773
dwi_sin,KNeighborsRegressor,5,PCA(n_components=0.95),RobustScaler,distance,manhattan,-0.53490823,0.05885994
dwi_sin,KNeighborsRegressor,5,PCA(n_components=0.95),RobustScaler,distance,chebyshev,-0.55101641,0.06997607
dwi_sin,KNeighborsRegressor,7,None,None,uniform,euclidean,-0.51974047,0.05293378
dwi_sin,KNeighborsRegressor,7,None,None,uniform,manhattan,-0.52697505,0.06007561
dwi_sin,KNeighborsRegressor,7,None,None,uniform,chebyshev,-0.54439241,0.06179252
dwi_sin,KNeighborsRegressor,7,None,None,distance,euclidean,-0.51963461,0.05272119
dwi_sin,KNeighborsRegressor,7,None,None,distance,manhattan,-0.52671903,0.05938912
dwi_sin,KNeighborsRegressor,7,None,None,distance,chebyshev,-0.5440346,0.06121005
dwi_sin,KNeighborsRegressor,7,None,StandardScaler,uniform,euclidean,-0.50803506,0.05194066
dwi_sin,KNeighborsRegressor,7,None,StandardScaler,uniform,manhattan,-0.51362362,0.0592347
dwi_sin,KNeighborsRegressor,7,None,StandardScaler,uniform,chebyshev,-0.52580102,0.06246455
dwi_sin,KNeighborsRegressor,7,None,StandardScaler,distance,euclidean,-0.50715055,0.05210968
dwi_sin,KNeighborsRegressor,7,None,StandardScaler,distance,manhattan,-0.51303102,0.05899447
dwi_sin,KNeighborsRegressor,7,None,StandardScaler,distance,chebyshev,-0.52565253,0.06211211
dwi_sin,KNeighborsRegressor,7,None,RobustScaler,uniform,euclidean,-0.52396306,0.05274216
dwi_sin,KNeighborsRegressor,7,None,RobustScaler,uniform,manhattan,-0.52350472,0.05950283
dwi_sin,KNeighborsRegressor,7,None,RobustScaler,uniform,chebyshev,-0.53271784,0.05958206
dwi_sin,KNeighborsRegressor,7,None,RobustScaler,distance,euclidean,-0.52300421,0.05222862
dwi_sin,KNeighborsRegressor,7,None,RobustScaler,distance,manhattan,-0.52341139,0.05925875
dwi_sin,KNeighborsRegressor,7,None,RobustScaler,distance,chebyshev,-0.53272246,0.05878438
dwi_sin,KNeighborsRegressor,7,PCA(n_components=0.95),None,uniform,euclidean,-0.50941125,0.05324215
dwi_sin,KNeighborsRegressor,7,PCA(n_components=0.95),None,uniform,manhattan,-0.51114545,0.05833983
dwi_sin,KNeighborsRegressor,7,PCA(n_components=0.95),None,uniform,chebyshev,-0.51606626,0.06210246
dwi_sin,KNeighborsRegressor,7,PCA(n_components=0.95),None,distance,euclidean,-0.50832969,0.05293453
dwi_sin,KNeighborsRegressor,7,PCA(n_components=0.95),None,distance,manhattan,-0.51078273,0.05832182
dwi_sin,KNeighborsRegressor,7,PCA(n_components=0.95),None,distance,chebyshev,-0.51591388,0.06148718
dwi_sin,KNeighborsRegressor,7,PCA(n_components=0.95),StandardScaler,uniform,euclidean,-0.5174859,0.04967587
dwi_sin,KNeighborsRegressor,7,PCA(n_components=0.95),StandardScaler,uniform,manhattan,-0.53312901,0.05754211
dwi_sin,KNeighborsRegressor,7,PCA(n_components=0.95),StandardScaler,uniform,chebyshev,-0.55219851,0.06631177
dwi_sin,KNeighborsRegressor,7,PCA(n_components=0.95),StandardScaler,distance,euclidean,-0.51700576,0.04898274
dwi_sin,KNeighborsRegressor,7,PCA(n_components=0.95),StandardScaler,distance,manhattan,-0.53256994,0.05645129
dwi_sin,KNeighborsRegressor,7,PCA(n_components=0.95),StandardScaler,distance,chebyshev,-0.55166357,0.06562199
