variable,regressor__n_estimators,regressor__max_depth,regressor__min_samples_split,regressor__min_samples_leaf,regressor__max_features,score,std,regressor
dwi_cos,100,None,10,1,sqrt,-0.40556818,0.03630031,RandomForestRegressor
dwi_cos,100,None,10,1,log2,-0.40591692,0.03656489,RandomForestRegressor
dwi_cos,100,None,10,4,sqrt,-0.40574938,0.03761405,RandomForestRegressor
dwi_cos,100,None,10,4,log2,-0.40417416,0.03751539,RandomForestRegressor
dwi_cos,100,20.0,2,1,sqrt,-0.40475221,0.03702287,RandomForestRegressor
dwi_cos,100,20.0,2,1,log2,-0.40625058,0.03701294,RandomForestRegressor
dwi_cos,100,20.0,2,4,sqrt,-0.40455186,0.03759171,RandomForestRegressor
dwi_cos,100,20.0,2,4,log2,-0.40463977,0.0372048,RandomForestRegressor
dwi_cos,100,20.0,10,1,sqrt,-0.40850767,0.03593883,RandomForestRegressor
dwi_cos,100,20.0,10,1,log2,-0.40736096,0.0356543,RandomForestRegressor
dwi_cos,100,20.0,10,4,sqrt,-0.406959,0.03707227,RandomForestRegressor
dwi_cos,100,20.0,10,4,log2,-0.40645446,0.03828034,RandomForestRegressor
dwi_cos,200,None,2,1,sqrt,-0.40697811,0.03717717,RandomForestRegressor
dwi_cos,200,None,2,1,log2,-0.40604882,0.03698281,RandomForestRegressor
dwi_cos,200,None,2,4,sqrt,-0.40682949,0.0374435,RandomForestRegressor
dwi_cos,200,None,2,4,log2,-0.40579542,0.03730848,RandomForestRegressor
dwi_cos,200,None,10,1,sqrt,-0.4058569,0.03691003,RandomForestRegressor
dwi_cos,200,None,10,1,log2,-0.4072112,0.03745928,RandomForestRegressor
dwi_cos,200,None,10,4,sqrt,-0.40619543,0.03647055,RandomForestRegressor
dwi_cos,200,None,10,4,log2,-0.4063302,0.03743632,RandomForestRegressor
dwi_cos,200,20.0,2,1,sqrt,-0.40658082,0.03727799,RandomForestRegressor
dwi_cos,200,20.0,2,1,log2,-0.40562397,0.03758594,RandomForestRegressor
dwi_cos,200,20.0,2,4,sqrt,-0.40562342,0.03650679,RandomForestRegressor
dwi_cos,200,20.0,2,4,log2,-0.40671823,0.0374578,RandomForestRegressor
dwi_cos,200,20.0,10,1,sqrt,-0.40508776,0.03694304,RandomForestRegressor
dwi_cos,200,20.0,10,1,log2,-0.405077,0.03745238,RandomForestRegressor
dwi_cos,200,20.0,10,4,sqrt,-0.40686059,0.03637079,RandomForestRegressor
dwi_cos,200,20.0,10,4,log2,-0.40568931,0.0373208,RandomForestRegressor
dwi_cos,300,None,2,1,sqrt,-0.40546848,0.03758839,RandomForestRegressor
dwi_cos,300,None,2,1,log2,-0.40624958,0.03708506,RandomForestRegressor
dwi_cos,300,None,2,4,sqrt,-0.40563189,0.03816851,RandomForestRegressor
dwi_cos,300,None,2,4,log2,-0.40466876,0.03693558,RandomForestRegressor
dwi_cos,300,None,10,1,sqrt,-0.40790245,0.0372785,RandomForestRegressor
dwi_cos,300,None,10,1,log2,-0.40721665,0.03705599,RandomForestRegressor
dwi_cos,300,None,10,4,sqrt,-0.40623118,0.03642983,RandomForestRegressor
dwi_cos,300,None,10,4,log2,-0.40746515,0.03652062,RandomForestRegressor
dwi_cos,300,20.0,2,1,sqrt,-0.40617254,0.0375779,RandomForestRegressor
dwi_cos,300,20.0,2,1,log2,-0.40677366,0.03682952,RandomForestRegressor
dwi_cos,300,20.0,2,4,sqrt,-0.40543174,0.03729856,RandomForestRegressor
dwi_cos,300,20.0,2,4,log2,-0.40697915,0.0375028,RandomForestRegressor
dwi_cos,300,20.0,10,1,sqrt,-0.40620687,0.03694248,RandomForestRegressor
dwi_cos,300,20.0,10,1,log2,-0.40634744,0.03708723,RandomForestRegressor
dwi_cos,300,20.0,10,4,sqrt,-0.40608839,0.0382211,RandomForestRegressor
dwi_cos,300,20.0,10,4,log2,-0.4057791,0.03729102,RandomForestRegressor
dwi_cos,400,None,2,1,sqrt,-0.40530815,0.03681498,RandomForestRegressor
dwi_cos,400,None,2,1,log2,-0.40520144,0.03653865,RandomForestRegressor
dwi_cos,400,None,2,4,sqrt,-0.40487611,0.03712068,RandomForestRegressor
dwi_cos,400,None,2,4,log2,-0.40525986,0.03620348,RandomForestRegressor
dwi_cos,400,None,10,1,sqrt,-0.40444357,0.03749083,RandomForestRegressor
dwi_cos,400,None,10,1,log2,-0.40486164,0.0367784,RandomForestRegressor
dwi_cos,400,None,10,4,sqrt,-0.40460866,0.03729794,RandomForestRegressor
dwi_cos,400,None,10,4,log2,-0.40464512,0.03780248,RandomForestRegressor
dwi_cos,400,20.0,2,1,sqrt,-0.40453481,0.03705239,RandomForestRegressor
dwi_cos,400,20.0,2,1,log2,-0.40518717,0.03633078,RandomForestRegressor
dwi_cos,400,20.0,2,4,sqrt,-0.40473708,0.03698202,RandomForestRegressor
dwi_cos,400,20.0,2,4,log2,-0.40453093,0.03758392,RandomForestRegressor
dwi_cos,400,20.0,10,1,sqrt,-0.40629721,0.03746874,RandomForestRegressor
dwi_cos,400,20.0,10,1,log2,-0.40600518,0.03690621,RandomForestRegressor
dwi_cos,400,20.0,10,4,sqrt,-0.40595547,0.03705283,RandomForestRegressor
dwi_cos,400,20.0,10,4,log2,-0.40560448,0.03752203,RandomForestRegressor
dwi_cos,500,None,2,1,sqrt,-0.40590253,0.03712972,RandomForestRegressor
dwi_cos,500,None,2,1,log2,-0.40609289,0.03683475,RandomForestRegressor
dwi_cos,500,None,2,4,sqrt,-0.40590584,0.03735758,RandomForestRegressor
dwi_cos,500,None,2,4,log2,-0.40539907,0.03738313,RandomForestRegressor
dwi_cos,500,None,10,1,sqrt,-0.40582741,0.03723654,RandomForestRegressor
dwi_cos,500,None,10,1,log2,-0.40594741,0.03747103,RandomForestRegressor
dwi_cos,500,None,10,4,sqrt,-0.40557123,0.03779685,RandomForestRegressor
dwi_cos,500,None,10,4,log2,-0.40556779,0.03714622,RandomForestRegressor
dwi_cos,500,20.0,2,1,sqrt,-0.40544992,0.03690928,RandomForestRegressor
dwi_cos,500,20.0,2,1,log2,-0.40518804,0.03705407,RandomForestRegressor
dwi_cos,500,20.0,2,4,sqrt,-0.40506614,0.03716465,RandomForestRegressor
dwi_cos,500,20.0,2,4,log2,-0.40558319,0.03764671,RandomForestRegressor
dwi_cos,500,20.0,10,1,sqrt,-0.40473876,0.03698471,RandomForestRegressor
dwi_cos,500,20.0,10,1,log2,-0.40491734,0.03745995,RandomForestRegressor
dwi_cos,500,20.0,10,4,sqrt,-0.40438095,0.0373462,RandomForestRegressor
dwi_cos,500,20.0,10,4,log2,-0.40478906,0.0371222,RandomForestRegressor
dwi_cos,600,None,2,1,sqrt,-0.40499411,0.03730623,RandomForestRegressor
dwi_cos,600,None,2,1,log2,-0.4049082,0.03772377,RandomForestRegressor
dwi_cos,600,None,2,4,sqrt,-0.40449297,0.03712393,RandomForestRegressor
dwi_cos,600,None,2,4,log2,-0.40499379,0.03725427,RandomForestRegressor
dwi_cos,600,None,10,1,sqrt,-0.40621497,0.03631485,RandomForestRegressor
dwi_cos,600,None,10,1,log2,-0.40596463,0.03714351,RandomForestRegressor
dwi_cos,600,None,10,4,sqrt,-0.40576254,0.0371792,RandomForestRegressor
