variable,regressor__n_estimators,regressor__learning_rate,regressor__max_depth,regressor__min_samples_leaf,regressor__subsample,regressor__max_features,score,std
dwi_sin,500,0.05,None,10,1.0,log2,-0.47689098,0.06178502
dwi_sin,500,0.05,None,10,0.8,sqrt,-0.47754484,0.06300798
dwi_sin,500,0.05,None,10,0.8,log2,-0.48266994,0.06084082
dwi_sin,500,0.05,None,20,1.0,sqrt,-0.47737655,0.05951681
dwi_sin,500,0.05,None,20,1.0,log2,-0.47873708,0.06470925
dwi_sin,500,0.05,None,20,0.8,sqrt,-0.4790501,0.06214869
dwi_sin,500,0.05,None,20,0.8,log2,-0.48314777,0.06411034
dwi_sin,500,0.05,5.0,10,1.0,sqrt,-0.47418727,0.06650716
dwi_sin,500,0.05,5.0,10,1.0,log2,-0.47565302,0.06833309
dwi_sin,500,0.05,5.0,10,0.8,sqrt,-0.47468032,0.06781047
dwi_sin,500,0.05,5.0,10,0.8,log2,-0.47724996,0.06754499
dwi_sin,500,0.05,5.0,20,1.0,sqrt,-0.47126564,0.06717517
dwi_sin,500,0.05,5.0,20,1.0,log2,-0.47693781,0.0679884
dwi_sin,500,0.05,5.0,20,0.8,sqrt,-0.47333221,0.06794579
dwi_sin,500,0.05,5.0,20,0.8,log2,-0.47390877,0.0672271
dwi_sin,500,0.1,None,10,1.0,sqrt,-0.48214435,0.05891344
dwi_sin,500,0.1,None,10,1.0,log2,-0.4878215,0.06219198
dwi_sin,500,0.1,None,10,0.8,sqrt,-0.48129501,0.06265314
dwi_sin,500,0.1,None,10,0.8,log2,-0.49245919,0.05638035
dwi_sin,500,0.1,None,20,1.0,sqrt,-0.48182442,0.05774254
dwi_sin,500,0.1,None,20,1.0,log2,-0.49412187,0.06008081
dwi_sin,500,0.1,None,20,0.8,sqrt,-0.48306999,0.06013872
dwi_sin,500,0.1,None,20,0.8,log2,-0.49213767,0.06056782
dwi_sin,500,0.1,5.0,10,1.0,sqrt,-0.48455492,0.06580085
dwi_sin,500,0.1,5.0,10,1.0,log2,-0.48417496,0.06726629
dwi_sin,500,0.1,5.0,10,0.8,sqrt,-0.48272659,0.06595245
dwi_sin,500,0.1,5.0,10,0.8,log2,-0.48832334,0.06482222
dwi_sin,500,0.1,5.0,20,1.0,sqrt,-0.48196921,0.06838477
dwi_sin,500,0.1,5.0,20,1.0,log2,-0.48632801,0.06579756
dwi_sin,500,0.1,5.0,20,0.8,sqrt,-0.48145353,0.06698326
dwi_sin,500,0.1,5.0,20,0.8,log2,-0.48686981,0.06652899
dwi_sin,600,0.05,None,10,1.0,sqrt,-0.47850171,0.06246614
dwi_sin,600,0.05,None,10,1.0,log2,-0.48101718,0.06518056
dwi_sin,600,0.05,None,10,0.8,sqrt,-0.4800566,0.05909255
dwi_sin,600,0.05,None,10,0.8,log2,-0.4826009,0.06192264
dwi_sin,600,0.05,None,20,1.0,sqrt,-0.47802435,0.06058087
dwi_sin,600,0.05,None,20,1.0,log2,-0.48109987,0.05916129
dwi_sin,600,0.05,None,20,0.8,sqrt,-0.47930179,0.06137064
dwi_sin,600,0.05,None,20,0.8,log2,-0.48211769,0.06420803
dwi_sin,600,0.05,5.0,10,1.0,sqrt,-0.47584478,0.06683681
dwi_sin,600,0.05,5.0,10,1.0,log2,-0.47748203,0.06674237
dwi_sin,600,0.05,5.0,10,0.8,sqrt,-0.47709475,0.0665931
dwi_sin,600,0.05,5.0,10,0.8,log2,-0.47574463,0.06762389
dwi_sin,600,0.05,5.0,20,1.0,sqrt,-0.47404644,0.06758032
dwi_sin,600,0.05,5.0,20,1.0,log2,-0.47794719,0.06900256
dwi_sin,600,0.05,5.0,20,0.8,sqrt,-0.47454018,0.06793487
dwi_sin,600,0.05,5.0,20,0.8,log2,-0.47657081,0.0670629
dwi_sin,600,0.1,None,10,1.0,sqrt,-0.48377457,0.06023111
dwi_sin,600,0.1,None,10,1.0,log2,-0.49407907,0.06173042
dwi_sin,600,0.1,None,10,0.8,sqrt,-0.48345146,0.06305009
dwi_sin,600,0.1,None,10,0.8,log2,-0.49198142,0.06010225
dwi_sin,600,0.1,None,20,1.0,sqrt,-0.48524877,0.05979418
dwi_sin,600,0.1,None,20,1.0,log2,-0.49487271,0.05635175
dwi_sin,600,0.1,None,20,0.8,sqrt,-0.48262383,0.06224997
dwi_sin,600,0.1,None,20,0.8,log2,-0.49055357,0.05842655
dwi_sin,600,0.1,5.0,10,1.0,sqrt,-0.48491672,0.06688865
dwi_sin,600,0.1,5.0,10,1.0,log2,-0.49055478,0.06796013
dwi_sin,600,0.1,5.0,10,0.8,sqrt,-0.48274275,0.06760057
dwi_sin,600,0.1,5.0,10,0.8,log2,-0.48436963,0.06408696
dwi_sin,600,0.1,5.0,20,1.0,sqrt,-0.48059722,0.06817164
dwi_sin,600,0.1,5.0,20,1.0,log2,-0.4908687,0.06681204
