variable,source_file,regressor,regressor__max_depth,regressor__min_samples_split,regressor__min_samples_leaf,score,std
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,None,20,4,-0.51603534,0.03368088
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,2,1,-0.43304115,0.03473126
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,2,2,-0.4333849,0.03525553
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,2,4,-0.43312246,0.03482894
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,5,1,-0.43332189,0.03473343
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,5,2,-0.4330073,0.03472506
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,5,4,-0.43309264,0.03474126
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,10,1,-0.43345837,0.03527847
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,10,2,-0.43290253,0.03446728
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,10,4,-0.43312208,0.03523026
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,20,1,-0.43312208,0.03523026
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,20,2,-0.43318576,0.03522851
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,20,4,-0.43351949,0.0353883
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,2,1,-0.50152841,0.03249704
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,2,2,-0.50230578,0.04138752
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,2,4,-0.49731451,0.03180747
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,5,1,-0.49006068,0.02807041
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,5,2,-0.50478197,0.03372655
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,5,4,-0.49801407,0.03576459
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,10,1,-0.49618111,0.03679224
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,10,2,-0.4877047,0.03489911
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,10,4,-0.49825295,0.0345555
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,20,1,-0.50120988,0.03300862
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,20,2,-0.49910063,0.03270079
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,20,4,-0.48951561,0.03226852
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,2,1,-0.55242161,0.02400294
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,2,2,-0.54551604,0.03408341
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,2,4,-0.53782134,0.03074725
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,5,1,-0.5220136,0.02894336
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,5,2,-0.54543263,0.03489692
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,5,4,-0.54623883,0.03109368
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,10,1,-0.53575725,0.03212068
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,10,2,-0.51934729,0.03117359
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,10,4,-0.53128722,0.03329474
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,20,1,-0.53027379,0.0329828
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,20,2,-0.52751226,0.03323506
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,20,4,-0.51420516,0.03338809
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,2,1,-0.55428849,0.03104511
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,2,2,-0.5490285,0.02878341
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,2,4,-0.53807073,0.03072331
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,5,1,-0.51979481,0.02736779
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,5,2,-0.54451866,0.03589451
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,5,4,-0.54367947,0.03261167
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,10,1,-0.53807356,0.02923412
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,10,2,-0.52025664,0.02721784
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,10,4,-0.52877077,0.03773654
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,20,1,-0.53216656,0.033425
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,20,2,-0.52686692,0.03479526
dwi_cos,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,20,4,-0.51693516,0.03238279
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,None,2,1,-3.31369609,0.43452199
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,None,2,2,-3.24271143,0.38404536
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,None,2,4,-3.22723388,0.37119251
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,None,5,1,-3.1093106,0.3893864
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,None,5,2,-3.17060946,0.32665471
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,None,5,4,-3.24543905,0.3800837
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,None,10,1,-3.19759249,0.37986786
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,None,10,2,-3.10274632,0.42856511
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,None,10,4,-3.09404577,0.34103999
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,None,20,1,-3.17682597,0.38295324
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,None,20,2,-3.13103264,0.36644876
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,None,20,4,-3.04784973,0.40253104
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,2,1,-2.68673761,0.46321717
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,2,2,-2.64811945,0.40360218
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,2,4,-2.64855324,0.41065021
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,5,1,-2.66284359,0.43560159
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,5,2,-2.6878356,0.45773856
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,5,4,-2.6746871,0.46192092
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,10,1,-2.68432256,0.47665385
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,10,2,-2.67624439,0.43115243
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,10,4,-2.67620825,0.37742842
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,20,1,-2.66985137,0.39858514
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,20,2,-2.67881885,0.3937541
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,5.0,20,4,-2.6581578,0.40678624
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,2,1,-3.01321608,0.50050078
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,2,2,-2.96821571,0.44915997
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,2,4,-2.97629949,0.47492964
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,5,1,-2.93213067,0.50164272
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,5,2,-2.92554602,0.44297205
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,5,4,-2.93659701,0.38990917
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,10,1,-2.98028969,0.47194873
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,10,2,-2.87323271,0.42241829
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,10,4,-2.92879019,0.45833504
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,20,1,-2.89914067,0.37565303
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,20,2,-2.94928788,0.4289967
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,10.0,20,4,-2.89419853,0.4678354
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,2,1,-3.28629822,0.3920713
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,2,2,-3.18837496,0.3650292
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,2,4,-3.16120721,0.43423283
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,5,1,-3.12432655,0.43216093
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,5,2,-3.2389468,0.4016243
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,5,4,-3.23410085,0.42776193
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,10,1,-3.13078557,0.37578713
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,10,2,-3.06549294,0.4052369
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,10,4,-3.1126799,0.32842227
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,20,1,-3.15381988,0.42589039
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,20,2,-3.10702101,0.37479631
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,20.0,20,4,-3.02854974,0.40969383
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,2,1,-3.34475532,0.4622387
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,2,2,-3.21830337,0.39510669
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,2,4,-3.1934885,0.37473119
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,5,1,-3.09310401,0.37671155
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,5,2,-3.24964569,0.39707783
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,5,4,-3.25450237,0.40978252
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,10,1,-3.22797276,0.41936225
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,10,2,-3.10343746,0.37717838
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,10,4,-3.15433314,0.37455004
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,20,1,-3.08009358,0.34957503
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,20,2,-3.15611534,0.38241953
wind_max,DecisionTree_13075251.txt,DecisionTreeRegressor,30.0,20,4,-3.00620909,0.32906721
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,None,2,1,-2.85226129,0.3581036
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,None,2,2,-2.81245954,0.33405818
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,None,2,4,-2.78140495,0.34693608
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,None,5,1,-2.67761627,0.3564481
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,None,5,2,-2.79052022,0.37544924
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,None,5,4,-2.79579878,0.38124116
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,None,10,1,-2.73074798,0.39999597
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,None,10,2,-2.64907486,0.39099196
wind_med,DecisionTree_13075251.txt,DecisionTreeRegressor,None,10,4,-2.67538628,0.34234825
