variable,scaler,regressor__hidden_layer_sizes,regressor__activation,regressor__solver,regressor__learning_rate_init,regressor__alpha,regressor__batch_size,score,std
dwi_cos,None,"(10,)",tanh,adam,0.001,0.001,auto,-0.43384964,0.04143274
dwi_cos,None,"(10,)",tanh,adam,0.001,0.001,32,-0.43753956,0.04582912
dwi_cos,None,"(10,)",tanh,adam,0.01,0.0001,auto,-0.42983069,0.0337889
dwi_cos,None,"(10,)",tanh,adam,0.01,0.0001,32,-0.44058659,0.03683317
dwi_cos,None,"(10,)",tanh,adam,0.01,0.001,auto,-0.42869485,0.04375491
dwi_cos,None,"(10,)",tanh,adam,0.01,0.001,32,-0.42591555,0.04623294
dwi_cos,None,"(10,)",logistic,adam,0.001,0.0001,auto,-0.43634929,0.04427134
dwi_cos,None,"(10,)",logistic,adam,0.001,0.0001,32,-0.43689586,0.03975532
dwi_cos,None,"(10,)",logistic,adam,0.001,0.001,auto,-0.43598863,0.03784931
dwi_cos,None,"(10,)",logistic,adam,0.001,0.001,32,-0.43753157,0.0434332
dwi_cos,None,"(10,)",logistic,adam,0.01,0.0001,auto,-0.43529531,0.04067983
dwi_cos,None,"(10,)",logistic,adam,0.01,0.0001,32,-0.43508184,0.0296886
dwi_cos,None,"(10,)",logistic,adam,0.01,0.001,auto,-0.43087573,0.03393473
dwi_cos,None,"(10,)",logistic,adam,0.01,0.001,32,-0.4313864,0.03874331
dwi_cos,StandardScaler,"(10,)",relu,adam,0.001,0.0001,auto,-0.4334653,0.03881165
dwi_cos,StandardScaler,"(10,)",relu,adam,0.001,0.0001,32,-0.44545901,0.03110778
dwi_cos,StandardScaler,"(10,)",relu,adam,0.001,0.001,auto,-0.43714661,0.03882404
dwi_cos,StandardScaler,"(10,)",relu,adam,0.001,0.001,32,-0.43404069,0.03797176
dwi_cos,StandardScaler,"(10,)",relu,adam,0.01,0.0001,auto,-0.43215659,0.03500348
dwi_cos,StandardScaler,"(10,)",relu,adam,0.01,0.0001,32,-0.45013439,0.03264107
dwi_cos,StandardScaler,"(10,)",relu,adam,0.01,0.001,auto,-0.43327248,0.03932071
dwi_cos,StandardScaler,"(10,)",relu,adam,0.01,0.001,32,-0.44210138,0.03575273
dwi_cos,StandardScaler,"(10,)",tanh,adam,0.001,0.0001,auto,-0.41987959,0.03444888
dwi_cos,StandardScaler,"(10,)",tanh,adam,0.001,0.0001,32,-0.41807896,0.03850549
dwi_cos,StandardScaler,"(10,)",tanh,adam,0.001,0.001,auto,-0.42509047,0.04064332
dwi_cos,StandardScaler,"(10,)",tanh,adam,0.001,0.001,32,-0.42443865,0.04355239
dwi_cos,StandardScaler,"(10,)",tanh,adam,0.01,0.0001,auto,-0.41886689,0.03278929
dwi_cos,StandardScaler,"(10,)",tanh,adam,0.01,0.0001,32,-0.41630933,0.03665159
dwi_cos,StandardScaler,"(10,)",tanh,adam,0.01,0.001,auto,-0.42716246,0.03678055
dwi_cos,StandardScaler,"(10,)",tanh,adam,0.01,0.001,32,-0.42705948,0.03321332
dwi_cos,StandardScaler,"(10,)",logistic,adam,0.001,0.0001,auto,-0.41712731,0.04101495
dwi_cos,StandardScaler,"(10,)",logistic,adam,0.001,0.0001,32,-0.42039078,0.03989017
dwi_cos,StandardScaler,"(10,)",logistic,adam,0.001,0.001,auto,-0.42145334,0.0379903
dwi_cos,StandardScaler,"(10,)",logistic,adam,0.001,0.001,32,-0.42310725,0.03213836
dwi_cos,StandardScaler,"(10,)",logistic,adam,0.01,0.0001,auto,-0.419276,0.0411508
dwi_cos,StandardScaler,"(10,)",logistic,adam,0.01,0.0001,32,-0.42055931,0.03998272
dwi_cos,StandardScaler,"(10,)",logistic,adam,0.01,0.001,auto,-0.42274934,0.04059098
dwi_cos,StandardScaler,"(10,)",logistic,adam,0.01,0.001,32,-0.42959239,0.04201047
dwi_cos,None,"(100,)",relu,adam,0.001,0.0001,auto,-0.444551,0.04287602
dwi_cos,None,"(100,)",relu,adam,0.001,0.0001,32,-0.46457419,0.0374658
dwi_cos,None,"(100,)",relu,adam,0.001,0.001,auto,-0.45806599,0.04596641
dwi_cos,None,"(100,)",relu,adam,0.001,0.001,32,-0.45462319,0.03444052
dwi_cos,None,"(100,)",relu,adam,0.01,0.0001,auto,-0.44771196,0.03696658
dwi_cos,None,"(100,)",relu,adam,0.01,0.0001,32,-0.45594715,0.03389305
dwi_cos,None,"(100,)",relu,adam,0.01,0.001,auto,-0.43230451,0.04493407
dwi_cos,None,"(100,)",relu,adam,0.01,0.001,32,-0.43022584,0.03813816
