variable,scaler,regressor__hidden_layers,regressor__activation,regressor__lr,regressor__epochs,regressor__batch_size,score,std
dwi_sin,None,"(25,)",Sigmoid,0.0005,100,16,-0.47666115,0.04758473
dwi_sin,None,"(25,)",Sigmoid,0.0005,100,32,-0.49742621,0.05579645
dwi_sin,None,"(25,)",Sigmoid,0.001,50,16,-0.49718841,0.04630044
dwi_sin,None,"(25,)",Sigmoid,0.001,50,32,-0.51489332,0.06960938
dwi_sin,None,"(25,)",Sigmoid,0.001,100,16,-0.47657422,0.05300481
dwi_sin,None,"(25,)",Sigmoid,0.001,100,32,-0.49481001,0.05606871
dwi_sin,None,"(25,)",Sigmoid,0.01,50,16,-0.48316379,0.0567856
dwi_sin,None,"(25,)",Sigmoid,0.01,50,32,-0.51268818,0.05643173
dwi_sin,None,"(25,)",Sigmoid,0.01,100,16,-0.49332961,0.04841967
dwi_sin,None,"(25,)",Sigmoid,0.01,100,32,-0.51355558,0.06377396
dwi_sin,StandardScaler,"(25,)",ReLU,0.0005,50,16,-0.47029174,0.05573689
dwi_sin,StandardScaler,"(25,)",ReLU,0.0005,50,32,-0.48956571,0.0642995
dwi_sin,StandardScaler,"(25,)",ReLU,0.0005,100,16,-0.4724116,0.0543427
dwi_sin,StandardScaler,"(25,)",ReLU,0.0005,100,32,-0.49600962,0.05834441
dwi_sin,StandardScaler,"(25,)",ReLU,0.001,50,16,-0.48548417,0.05974969
dwi_sin,StandardScaler,"(25,)",ReLU,0.001,50,32,-0.51443389,0.06117005
dwi_sin,StandardScaler,"(25,)",ReLU,0.001,100,16,-0.47583225,0.05511755
dwi_sin,StandardScaler,"(25,)",ReLU,0.001,100,32,-0.49772328,0.06569379
dwi_sin,StandardScaler,"(25,)",ReLU,0.01,50,16,-0.47903517,0.05604431
dwi_sin,StandardScaler,"(25,)",ReLU,0.01,50,32,-0.51201962,0.05265253
dwi_sin,StandardScaler,"(25,)",ReLU,0.01,100,16,-0.48681128,0.05163403
dwi_sin,StandardScaler,"(25,)",ReLU,0.01,100,32,-0.51686715,0.04896434
dwi_sin,StandardScaler,"(25,)",Tanh,0.0005,50,16,-0.46561874,0.05621134
dwi_sin,StandardScaler,"(25,)",Tanh,0.0005,50,32,-0.47613728,0.06437931
dwi_sin,StandardScaler,"(25,)",Tanh,0.0005,100,16,-0.47160425,0.05013689
dwi_sin,StandardScaler,"(25,)",Tanh,0.0005,100,32,-0.48274879,0.0595132
dwi_sin,StandardScaler,"(25,)",Tanh,0.001,50,16,-0.48302371,0.05391498
dwi_sin,StandardScaler,"(25,)",Tanh,0.001,50,32,-0.49843811,0.06150389
dwi_sin,StandardScaler,"(25,)",Tanh,0.001,100,16,-0.47048085,0.05558933
dwi_sin,StandardScaler,"(25,)",Tanh,0.001,100,32,-0.489059,0.06384709
dwi_sin,StandardScaler,"(25,)",Tanh,0.01,50,16,-0.47451815,0.05528143
dwi_sin,StandardScaler,"(25,)",Tanh,0.01,50,32,-0.49878026,0.06060825
dwi_sin,StandardScaler,"(25,)",Tanh,0.01,100,16,-0.48316769,0.05233951
dwi_sin,StandardScaler,"(25,)",Tanh,0.01,100,32,-0.50441305,0.05823475
dwi_sin,StandardScaler,"(25,)",Sigmoid,0.0005,50,16,-0.46624231,0.05550274
dwi_sin,StandardScaler,"(25,)",Sigmoid,0.0005,50,32,-0.47068479,0.06191503
dwi_sin,StandardScaler,"(25,)",Sigmoid,0.0005,100,16,-0.46429391,0.05551729
dwi_sin,StandardScaler,"(25,)",Sigmoid,0.0005,100,32,-0.48035785,0.06027831
dwi_sin,StandardScaler,"(25,)",Sigmoid,0.001,50,16,-0.48123587,0.05335176
dwi_sin,StandardScaler,"(25,)",Sigmoid,0.001,50,32,-0.50191212,0.05836974
dwi_sin,StandardScaler,"(25,)",Sigmoid,0.001,100,16,-0.46955028,0.05543582
dwi_sin,StandardScaler,"(25,)",Sigmoid,0.001,100,32,-0.47765641,0.06197357
dwi_sin,StandardScaler,"(25,)",Sigmoid,0.01,50,16,-0.47292115,0.05357761
dwi_sin,StandardScaler,"(25,)",Sigmoid,0.01,50,32,-0.48680235,0.06064449
dwi_sin,StandardScaler,"(25,)",Sigmoid,0.01,100,16,-0.48720503,0.05861115
dwi_sin,StandardScaler,"(25,)",Sigmoid,0.01,100,32,-0.51006853,0.06224657
dwi_sin,None,"(30, 10)",ReLU,0.0005,50,16,-0.47379052,0.05507725
dwi_sin,None,"(30, 10)",ReLU,0.0005,50,32,-0.4929487,0.06586109
dwi_sin,None,"(30, 10)",ReLU,0.0005,100,16,-0.47314162,0.0521548
dwi_sin,None,"(30, 10)",ReLU,0.0005,100,32,-0.51428458,0.06753036
dwi_sin,None,"(30, 10)",ReLU,0.001,50,16,-0.47859751,0.06646112
dwi_sin,None,"(30, 10)",ReLU,0.001,50,32,-0.51126202,0.05902493
dwi_sin,None,"(30, 10)",ReLU,0.001,100,16,-0.48346572,0.05742881
dwi_sin,None,"(30, 10)",ReLU,0.001,100,32,-0.51225225,0.06260392
dwi_sin,None,"(30, 10)",ReLU,0.01,50,16,-0.488715,0.04946917
dwi_sin,None,"(30, 10)",ReLU,0.01,50,32,-0.5114566,0.06692579
dwi_sin,None,"(30, 10)",ReLU,0.01,100,16,-0.47633452,0.0565371
dwi_sin,None,"(30, 10)",ReLU,0.01,100,32,-0.50188065,0.06956089
dwi_sin,None,"(30, 10)",Tanh,0.0005,50,16,-0.47130522,0.06038017
dwi_sin,None,"(30, 10)",Tanh,0.0005,50,32,-0.48785569,0.06643855
dwi_sin,None,"(30, 10)",Tanh,0.0005,100,16,-0.47443404,0.05854719
dwi_sin,None,"(30, 10)",Tanh,0.0005,100,32,-0.49614787,0.05487393
dwi_sin,None,"(30, 10)",Tanh,0.001,50,16,-0.4757591,0.04823834
dwi_sin,None,"(30, 10)",Tanh,0.001,50,32,-0.49488794,0.05967828
dwi_sin,None,"(30, 10)",Tanh,0.001,100,16,-0.47920102,0.05406662
dwi_sin,None,"(30, 10)",Tanh,0.001,100,32,-0.50127753,0.07715565
dwi_sin,None,"(30, 10)",Tanh,0.01,50,16,-0.48289438,0.05271703
dwi_sin,None,"(30, 10)",Tanh,0.01,50,32,-0.51866388,0.07249396
dwi_sin,None,"(30, 10)",Tanh,0.01,100,16,-0.47740303,0.06127994
dwi_sin,None,"(30, 10)",Tanh,0.01,100,32,-0.50704851,0.06351077
dwi_sin,None,"(30, 10)",Sigmoid,0.0005,50,16,-0.47341856,0.05806617
dwi_sin,None,"(30, 10)",Sigmoid,0.0005,50,32,-0.50365412,0.066541
dwi_sin,None,"(30, 10)",Sigmoid,0.0005,100,16,-0.48005683,0.05445062
