variable,regressor,scaler,pca,regressor_C,regressor_epsilon,regressor_kernel,regressor_loss,nystroem_n_components,score,std
dwi_sin,SDG,None,None,0.0001,1.0,None,epsilon_insensitive,100,-0.71634879,0.01232881
dwi_sin,SDG,None,None,0.0001,1.0,None,epsilon_insensitive,150,-0.71634879,0.01232881
dwi_sin,SDG,None,None,0.0001,1.0,None,squared_epsilon_insensitive,100,-0.71634879,0.01232881
dwi_sin,SDG,None,None,0.0001,1.0,None,squared_epsilon_insensitive,150,-0.71634879,0.01232881
dwi_sin,SDG,None,None,0.001,0.01,None,epsilon_insensitive,100,-0.47778148,0.05988275
dwi_sin,SDG,None,None,0.001,0.01,None,epsilon_insensitive,150,-0.48238618,0.06924092
dwi_sin,SDG,None,None,0.001,0.01,None,squared_epsilon_insensitive,100,-0.47598583,0.05111728
dwi_sin,SDG,None,None,0.001,0.01,None,squared_epsilon_insensitive,150,-0.47780182,0.06106425
dwi_sin,SDG,None,None,0.001,0.1,None,epsilon_insensitive,100,-0.47797267,0.06109978
dwi_sin,SDG,None,None,0.001,0.1,None,epsilon_insensitive,150,-0.48238398,0.06874318
dwi_sin,SDG,None,None,0.001,0.1,None,squared_epsilon_insensitive,100,-0.47866641,0.04775094
dwi_sin,SDG,None,None,0.001,0.1,None,squared_epsilon_insensitive,150,-0.48082494,0.05690866
dwi_sin,SDG,None,None,0.001,0.2,None,epsilon_insensitive,100,-0.475611,0.05706068
dwi_sin,SDG,None,None,0.001,0.2,None,epsilon_insensitive,150,-0.47814537,0.06698987
dwi_sin,SDG,None,None,0.001,0.2,None,squared_epsilon_insensitive,100,-0.48783956,0.04607424
dwi_sin,SDG,None,None,0.001,0.2,None,squared_epsilon_insensitive,150,-0.48829443,0.05349525
dwi_sin,SDG,None,None,0.001,1.0,None,epsilon_insensitive,100,-0.71634879,0.01232881
dwi_sin,SDG,None,None,0.001,1.0,None,epsilon_insensitive,150,-0.71634879,0.01232881
dwi_sin,SDG,None,None,0.001,1.0,None,squared_epsilon_insensitive,100,-0.71634879,0.01232881
dwi_sin,SDG,None,None,0.001,1.0,None,squared_epsilon_insensitive,150,-0.71634879,0.01232881
dwi_sin,SDG,None,None,0.01,0.01,None,epsilon_insensitive,100,-0.47974059,0.0570814
dwi_sin,SDG,None,None,0.01,0.01,None,epsilon_insensitive,150,-0.48012578,0.06704198
dwi_sin,SDG,None,None,0.01,0.01,None,squared_epsilon_insensitive,100,-0.48293373,0.04715814
dwi_sin,SDG,None,None,0.01,0.01,None,squared_epsilon_insensitive,150,-0.48359902,0.05710829
dwi_sin,SDG,None,None,0.01,0.1,None,epsilon_insensitive,100,-0.47764702,0.05413856
dwi_sin,SDG,None,None,0.01,0.1,None,epsilon_insensitive,150,-0.48086841,0.06772805
dwi_sin,SDG,None,None,0.01,0.1,None,squared_epsilon_insensitive,100,-0.49075421,0.04595302
dwi_sin,SDG,None,None,0.01,0.1,None,squared_epsilon_insensitive,150,-0.48715065,0.0560382
dwi_sin,SDG,None,None,0.01,0.2,None,epsilon_insensitive,100,-0.47952136,0.05314712
dwi_sin,SDG,None,None,0.01,0.2,None,epsilon_insensitive,150,-0.48001875,0.06359829
dwi_sin,SDG,None,None,0.01,0.2,None,squared_epsilon_insensitive,100,-0.49921384,0.04207934
dwi_sin,SDG,None,None,0.01,0.2,None,squared_epsilon_insensitive,150,-0.49445653,0.05163814
dwi_sin,SDG,None,None,0.01,1.0,None,epsilon_insensitive,100,-0.71634879,0.01232881
dwi_sin,SDG,None,None,0.01,1.0,None,epsilon_insensitive,150,-0.71634879,0.01232881
dwi_sin,SDG,None,None,0.01,1.0,None,squared_epsilon_insensitive,100,-0.71634879,0.01232881
dwi_sin,SDG,None,None,0.01,1.0,None,squared_epsilon_insensitive,150,-0.71634879,0.01232881
dwi_sin,SDG,None,None,0.1,0.01,None,epsilon_insensitive,100,-0.59073538,0.04673679
dwi_sin,SDG,None,None,0.1,0.01,None,epsilon_insensitive,150,-0.53962569,0.05424529
dwi_sin,SDG,None,None,0.1,0.01,None,squared_epsilon_insensitive,100,-0.56525674,0.03392509
dwi_sin,SDG,None,None,0.1,0.01,None,squared_epsilon_insensitive,150,-0.53214001,0.0446132
dwi_sin,SDG,None,None,0.1,0.1,None,epsilon_insensitive,100,-0.58617325,0.04766996
dwi_sin,SDG,None,None,0.1,0.1,None,epsilon_insensitive,150,-0.53611624,0.05332702
dwi_sin,SDG,None,None,0.1,0.1,None,squared_epsilon_insensitive,100,-0.57472816,0.0344319
dwi_sin,SDG,None,None,0.1,0.1,None,squared_epsilon_insensitive,150,-0.543099,0.04026233
dwi_sin,SDG,None,None,0.1,0.2,None,epsilon_insensitive,100,-0.58202968,0.04644988
dwi_sin,SDG,None,None,0.1,0.2,None,epsilon_insensitive,150,-0.53796866,0.04930723
dwi_sin,SDG,None,None,0.1,0.2,None,squared_epsilon_insensitive,100,-0.58702757,0.02917841
dwi_sin,SDG,None,None,0.1,0.2,None,squared_epsilon_insensitive,150,-0.55341589,0.03684375
dwi_sin,SDG,None,None,0.1,1.0,None,epsilon_insensitive,100,-0.71634879,0.01232881
