emission_time,validate_time,latitude,longitude,dwi_sin,dwi_cos,wind,shww,mdts_sin,mdts_cos,shts
2015-01-01 12:00:00,2015-01-01 15:00:00,43.585,-3.51,0.98909515,-0.14727782,5.784668,0.39642742,-0.42171848,0.90672684,0.32565862
2015-01-01 12:00:00,2015-01-01 15:00:00,43.585,-3.385,0.9848921,-0.17316918,5.784668,0.3950465,-0.43833652,0.8988109,0.31757146
2015-01-01 12:00:00,2015-01-01 15:00:00,43.585,-3.26,0.98035914,-0.19722071,4.946289,0.3552287,-0.42381907,0.9057469,0.3193491
2015-01-01 12:00:00,2015-01-01 15:00:00,43.71,-4.51,0.98056364,-0.19620128,2.5957031,0.05522564,-0.44188735,0.8970705,0.48095495
2015-01-01 12:00:00,2015-01-01 15:00:00,43.71,-4.385,0.97594255,-0.21802796,2.5957031,0.094997674,-0.25179496,0.9677806,0.49006444
2015-01-01 12:00:00,2015-01-01 15:00:00,43.71,-4.26,0.9736968,-0.22784747,3.9257812,0.14007977,-0.023957646,0.999713,0.49963933
2015-01-01 12:00:00,2015-01-01 15:00:00,43.71,-4.135,0.936155,-0.35158747,3.9257812,0.17266491,0.052102033,0.9986418,0.5028208
2015-01-01 12:00:00,2015-01-01 15:00:00,43.71,-4.01,0.9515689,-0.3074356,3.9257812,0.27916363,-0.30885097,0.9511104,0.464979
2015-01-01 12:00:00,2015-01-01 15:00:00,43.71,-3.885,0.964942,-0.2624633,5.95459,0.38576153,-0.6498335,0.7600766,0.42725164
2015-01-01 12:00:00,2015-01-01 15:00:00,43.71,-3.76,0.9795956,-0.20097889,5.95459,0.44897106,-0.72280884,0.6910481,0.41425115
2015-01-01 12:00:00,2015-01-01 15:00:00,43.71,-3.635,0.97739905,-0.2114026,5.95459,0.44715527,-0.7452141,0.66682523,0.40693456
2015-01-01 12:00:00,2015-01-01 15:00:00,43.71,-3.51,0.9749895,-0.22225097,6.0771484,0.44654492,-0.76715815,0.64145803,0.39945775
2015-01-01 12:00:00,2015-01-01 15:00:00,43.71,-3.385,0.9686896,-0.2482749,6.0771484,0.4393504,-0.77393675,0.6332629,0.39247686
2015-01-01 12:00:00,2015-01-01 15:00:00,43.71,-3.26,0.96078354,-0.27729943,5.4067383,0.40201977,-0.77238023,0.63516045,0.391218
2015-01-01 12:00:00,2015-01-01 15:00:00,43.835,-4.51,0.91295195,-0.40806705,2.5957031,0.058986932,-0.7270354,0.68659997,0.5620783
2015-01-01 12:00:00,2015-01-01 15:00:00,43.835,-4.385,0.9257696,-0.37808803,2.5957031,0.10678509,-0.71198,0.70219976,0.5626963
2015-01-01 12:00:00,2015-01-01 15:00:00,43.835,-4.26,0.9220594,-0.38704836,3.9257812,0.151768,-0.5347349,0.8450199,0.5722483
2015-01-01 12:00:00,2015-01-01 15:00:00,43.835,-4.135,0.920728,-0.3902049,3.9257812,0.204716,-0.33749574,0.94132704,0.5748194
2015-01-01 12:00:00,2015-01-01 15:00:00,43.835,-4.01,0.93158424,-0.36352545,3.9257812,0.29582623,-0.42813662,0.90371406,0.5454157
2015-01-01 12:00:00,2015-01-01 15:00:00,43.835,-3.885,0.94754493,-0.31962267,5.95459,0.40216473,-0.7528924,0.6581436,0.507757
2015-01-01 12:00:00,2015-01-01 15:00:00,43.835,-3.76,0.9530201,-0.30290708,5.95459,0.46737316,-0.8641596,0.5032179,0.47978002
2015-01-01 12:00:00,2015-01-01 15:00:00,43.835,-3.635,0.94777346,-0.31894428,5.95459,0.47107342,-0.87354124,0.48675022,0.4686411
2015-01-01 12:00:00,2015-01-01 15:00:00,43.835,-3.51,0.94428295,-0.32913488,6.0771484,0.4693034,-0.88868725,0.45851386,0.46140844
2015-01-01 12:00:00,2015-01-01 15:00:00,43.835,-3.385,0.93689007,-0.34962404,6.0771484,0.44772747,-0.8947955,0.44647625,0.45452672
2015-01-01 12:00:00,2015-01-01 15:00:00,43.835,-3.26,0.9261558,-0.37714106,5.4067383,0.41193035,-0.8945518,0.4469643,0.45169622
2015-01-01 12:00:00,2015-01-01 18:00:00,43.46,-4.51,-0.8889851,0.45793617,2.5581055,0.03987279,-0.2355252,0.9718682,0.3442546
2015-01-01 12:00:00,2015-01-01 18:00:00,43.46,-4.385,-0.94509536,0.32679468,2.5581055,0.045213368,-0.24307181,0.9700083,0.35072434
2015-01-01 12:00:00,2015-01-01 18:00:00,43.46,-4.26,-0.9926865,0.12072088,2.9331055,0.052926686,-0.25377002,0.9672646,0.36007798
2015-01-01 12:00:00,2015-01-01 18:00:00,43.46,-4.135,-0.99998075,-0.006202169,2.9331055,0.057695057,-0.26049036,0.96547645,0.36586106
2015-01-01 12:00:00,2015-01-01 18:00:00,43.46,-4.01,-0.9998628,-0.016564077,2.9331055,0.04051366,-0.015228938,0.999884,0.37614548
2015-01-01 12:00:00,2015-01-01 18:00:00,43.46,-3.885,-0.9996189,-0.02760583,2.0,0.022233631,0.2533236,0.9673816,0.3870784
2015-01-01 12:00:00,2015-01-01 18:00:00,43.46,-3.76,-0.9980973,-0.06165881,2.0,0.024408009,0.39026755,0.9207015,0.3924495
2015-01-01 12:00:00,2015-01-01 18:00:00,43.46,-3.635,0.05308293,-0.9985901,2.0,0.07197729,0.63210404,0.7748835,0.3994838
2015-01-01 12:00:00,2015-01-01 18:00:00,43.46,-3.51,0.95471567,-0.2975198,3.3105469,0.119516045,0.8226798,0.568505,0.40650284
2015-01-01 12:00:00,2015-01-01 18:00:00,43.46,-3.385,0.95914775,-0.28290558,3.3105469,0.14686742,0.75006664,0.66136223,0.39212143
2015-01-01 12:00:00,2015-01-01 18:00:00,43.46,-3.26,0.9571967,-0.28943816,4.482422,0.1962296,0.4486741,0.8936954,0.35718644
2015-01-01 12:00:00,2015-01-01 18:00:00,43.585,-4.51,-0.7642433,0.6449281,2.5581055,0.030328419,-0.37595776,0.9266368,0.41577256
2015-01-01 12:00:00,2015-01-01 18:00:00,43.585,-4.385,-0.5969565,0.80227363,2.5581055,0.033509877,-0.24835865,0.96866816,0.4258052
2015-01-01 12:00:00,2015-01-01 18:00:00,43.585,-4.26,-0.6894895,0.7242957,2.9331055,0.03936925,-0.23207818,0.97269714,0.43399155
2015-01-01 12:00:00,2015-01-01 18:00:00,43.585,-4.135,-0.8818882,0.47145852,2.9331055,0.04595342,-0.2355252,0.9718682,0.44192612
2015-01-01 12:00:00,2015-01-01 18:00:00,43.585,-4.01,-0.9236974,-0.38312274,2.9331055,0.055452015,0.0041324697,0.9999915,0.4500972
2015-01-01 12:00:00,2015-01-01 18:00:00,43.585,-3.885,-0.9148449,-0.40380552,2.0,0.04013982,0.23361865,0.9723283,0.45927536
2015-01-01 12:00:00,2015-01-01 18:00:00,43.585,-3.76,-0.9159974,-0.4011843,2.0,0.05627599,0.2939761,0.95581275,0.4580623
2015-01-01 12:00:00,2015-01-01 18:00:00,43.585,-3.635,-0.5548346,-0.8319607,2.0,0.13845983,0.09290103,0.9956753,0.43977463
2015-01-01 12:00:00,2015-01-01 18:00:00,43.585,-3.51,0.92654335,-0.37618804,3.3105469,0.1783463,0.34743527,0.93770397,0.44567978
2015-01-01 12:00:00,2015-01-01 18:00:00,43.585,-3.385,0.95233285,-0.3050609,3.3105469,0.20887914,0.46444446,0.88560224,0.43342698
2015-01-01 12:00:00,2015-01-01 18:00:00,43.585,-3.26,0.94730145,-0.32034346,4.482422,0.24163213,0.18924367,0.98193014,0.40387833
2015-01-01 12:00:00,2015-01-01 18:00:00,43.71,-4.51,-0.53689533,0.84364885,2.0,0.018556263,-0.55972314,0.8286797,0.525056
2015-01-01 12:00:00,2015-01-01 18:00:00,43.71,-4.385,-0.19595769,0.98061234,2.0,0.021440174,-0.43022716,0.90272063,0.5350963
2015-01-01 12:00:00,2015-01-01 18:00:00,43.71,-4.26,0.37745112,0.9260295,2.0,0.024003651,-0.27598995,0.96116054,0.54528916
2015-01-01 12:00:00,2015-01-01 18:00:00,43.71,-4.135,0.6529161,0.75743026,2.0,0.029382374,-0.18487471,0.9827621,0.5542613
2015-01-01 12:00:00,2015-01-01 18:00:00,43.71,-4.01,0.97014755,0.24251546,2.0,0.041223194,0.06054592,0.9981654,0.5623332
2015-01-01 12:00:00,2015-01-01 18:00:00,43.71,-3.885,0.91049695,-0.4135158,2.3671875,0.053033497,0.31164923,0.9501972,0.5705272
2015-01-01 12:00:00,2015-01-01 18:00:00,43.71,-3.76,0.87312734,-0.48749226,2.3671875,0.08497015,0.32728323,0.94492626,0.56568253
2015-01-01 12:00:00,2015-01-01 18:00:00,43.71,-3.635,0.8994795,-0.4369629,2.3671875,0.18764654,-0.09648246,0.9953347,0.5356685
2015-01-01 12:00:00,2015-01-01 18:00:00,43.71,-3.51,0.92566884,-0.3783348,4.942871,0.28849187,-0.48834667,0.8726497,0.5068294
2015-01-01 12:00:00,2015-01-01 18:00:00,43.71,-3.385,0.9464243,-0.32292572,4.942871,0.31747594,-0.53046185,0.8477088,0.4917537
2015-01-01 12:00:00,2015-01-01 18:00:00,43.71,-3.26,0.93640864,-0.35091144,5.508301,0.33888403,-0.66442484,0.7473551,0.46191514
2015-01-01 12:00:00,2015-01-01 18:00:00,43.835,-4.51,-0.26217404,0.9650206,2.0,0.016130116,-0.77557266,0.63125837,0.60740006
2015-01-01 12:00:00,2015-01-01 18:00:00,43.835,-4.385,-0.0556699,0.9984492,2.0,0.0180985,-0.7716847,0.6360053,0.60973465
2015-01-01 12:00:00,2015-01-01 18:00:00,43.835,-4.26,0.79455656,0.6071902,2.0,0.020654347,-0.6568501,0.7540212,0.61990464
2015-01-01 12:00:00,2015-01-01 18:00:00,43.835,-4.135,0.9473463,0.3202108,2.0,0.023347523,-0.54540414,0.8381732,0.6281978
2015-01-01 12:00:00,2015-01-01 18:00:00,43.835,-4.01,0.97958386,0.20103602,2.0,0.028764393,-0.5169877,0.85599285,0.630479
2015-01-01 12:00:00,2015-01-01 18:00:00,43.835,-3.885,0.96165484,-0.27426255,2.3671875,0.040559437,-0.2557477,0.9667436,0.6386348
2015-01-01 12:00:00,2015-01-01 18:00:00,43.835,-3.76,0.89060295,-0.4547817,2.3671875,0.07658544,-0.052294057,0.9986317,0.6358577
2015-01-01 12:00:00,2015-01-01 18:00:00,43.835,-3.635,0.9091956,-0.41636923,2.3671875,0.16182104,-0.3408273,0.94012594,0.6122371
2015-01-01 12:00:00,2015-01-01 18:00:00,43.835,-3.51,0.9251003,-0.37972277,4.942871,0.26426855,-0.72946244,0.6840209,0.5823833
2015-01-01 12:00:00,2015-01-01 18:00:00,43.835,-3.385,0.92333,-0.38400748,4.942871,0.32502905,-0.7829215,0.6221205,0.55104935
2015-01-01 12:00:00,2015-01-01 18:00:00,43.835,-3.26,0.9116212,-0.41103134,5.508301,0.3513352,-0.83483964,0.5504932,0.5205852
2015-01-01 12:00:00,2015-01-01 21:00:00,43.46,-4.51,0.88764757,0.4605234,2.0,0.015950356,-0.4063897,0.91369987,0.37045383
2015-01-01 12:00:00,2015-01-01 21:00:00,43.46,-4.385,0.99740094,0.07205134,2.0,0.024647865,-0.47310513,0.881006,0.3745432
2015-01-01 12:00:00,2015-01-01 21:00:00,43.46,-4.26,0.017026229,-0.99985504,2.4541016,0.037224922,-0.5654185,0.8248042,0.3804636
2015-01-01 12:00:00,2015-01-01 21:00:00,43.46,-4.135,-0.31123716,-0.9503323,2.4541016,0.04500309,-0.6187955,0.7855521,0.3841257
2015-01-01 12:00:00,2015-01-01 21:00:00,43.46,-4.01,-0.42306638,-0.9060987,2.4541016,0.060200844,-0.6249889,0.7806336,0.38740635
2015-01-01 12:00:00,2015-01-01 21:00:00,43.46,-3.885,-0.53593355,-0.84426016,3.046875,0.07636753,-0.63156587,0.77532226,0.39089298
2015-01-01 12:00:00,2015-01-01 21:00:00,43.46,-3.76,-0.5942337,-0.80429244,3.046875,0.07837787,-0.5806157,0.81417775,0.3918848
2015-01-01 12:00:00,2015-01-01 21:00:00,43.46,-3.635,-0.6914762,-0.72239923,3.046875,0.057236824,-0.20714024,0.97831124,0.3902979
2015-01-01 12:00:00,2015-01-01 21:00:00,43.46,-3.51,-0.77745706,-0.628936,2.347168,0.03611103,0.19626528,0.9805508,0.38871098
2015-01-01 12:00:00,2015-01-01 21:00:00,43.46,-3.385,-0.7141221,-0.70002115,2.347168,0.03454319,0.27180615,0.96235204,0.38815403
2015-01-01 12:00:00,2015-01-01 21:00:00,43.46,-3.26,-0.50384784,-0.8637924,2.474121,0.03686634,0.3474966,0.93768126,0.38730717
2015-01-01 12:00:00,2015-01-01 21:00:00,43.585,-4.51,0.987723,0.15621537,2.0,0.015778694,-0.54694873,0.8371661,0.44200993
2015-01-01 12:00:00,2015-01-01 21:00:00,43.585,-4.385,0.9921527,0.12503201,2.0,0.01992527,-0.539852,0.84176,0.4468012
2015-01-01 12:00:00,2015-01-01 21:00:00,43.585,-4.26,-0.006221342,-0.9999806,2.4541016,0.029668007,-0.6017297,0.7986998,0.45149326
2015-01-01 12:00:00,2015-01-01 21:00:00,43.585,-4.135,-0.4326177,-0.9015775,2.4541016,0.04051319,-0.6694562,0.74285156,0.45642185
2015-01-01 12:00:00,2015-01-01 21:00:00,43.585,-4.01,-0.38729265,-0.92195684,2.4541016,0.062844425,-0.66641206,0.7455836,0.45650578
2015-01-01 12:00:00,2015-01-01 21:00:00,43.585,-3.885,-0.4842284,-0.87494165,3.046875,0.076390415,-0.6716815,0.74084,0.45943546
2015-01-01 12:00:00,2015-01-01 21:00:00,43.585,-3.76,-0.5176218,-0.85560954,3.046875,0.087418705,-0.67520964,0.73762584,0.46146488
2015-01-01 12:00:00,2015-01-01 21:00:00,43.585,-3.635,-0.4567979,-0.8895705,3.046875,0.084332615,-0.5988943,0.8008281,0.46054935
2015-01-01 12:00:00,2015-01-01 21:00:00,43.585,-3.51,-0.5506431,-0.83474076,2.347168,0.066636235,-0.29018217,0.9569714,0.45926
2015-01-01 12:00:00,2015-01-01 21:00:00,43.585,-3.385,-0.52680826,-0.84998417,2.347168,0.08419147,-0.096960865,0.9952882,0.45201206
